id,kode,nama
1,"0","URUSAN UMUM"
2,"0.00","Urusan Umum"
3,"1","URUSAN WAJIB"
4,"1.01","Pendidikan"
5,"1.02","Kesehatan"
6,"1.03","Pekerjaan Umum"
7,"1.04","Perumahan"
8,"1.05","Penataan Ruang"
9,"1.06","Perencanaan Pembangunan"
10,"1.07","Perhubungan"
11,"1.08","Lingkungan Hidup"
12,"1.09","Pertanahan"
13,"1.10","Kependudukan dan Catatan Sipil"
14,"1.11","Pemberdayaan Perempuan dan Perlindungan Anak"
15,"1.12","Keluarga Berencana dan Keluarga Sejahtera"
16,"1.13","Sosial"
17,"1.14","Ketenagakerjaan"
18,"1.15","Koperasi dan Usaha Kecil Menengah"
19,"1.16","Penanaman Modal"
20,"1.17","Kebudayaan"
21,"1.18","Kepemudaan dan Olah Raga"
22,"1.19","Kesatuan Bangsa dan Politik Dalam Negeri"
23,"1.20","Otda, Pem. Umum, AKD, Prkt Daerah, Kepeg, Prsndian"
24,"1.21","Ketahanan Pangan"
25,"1.22","Pemberdayaan Masyarakat Desa"
26,"1.23","Statistik"
27,"1.24","Kearsipan"
28,"1.25","Komunikasi dan Informatika"
29,"1.26","Perpustakaan"
30,"2","URUSAN PILIHAN"
31,"2.01","Pertanian"
32,"2.02","Kehutanan"
33,"2.03","Energi dan Sumberdaya Mineral"
34,"2.04","Pariwisata"
35,"2.05","Kelautan dan Perikanan"
36,"2.06","Perdagangan"
37,"2.07","Industri"
38,"2.08","Ketransmigrasian"