id,kode,nama,level_id,is_summary,defsign,disabled
1,"4.1.1.04","Pajak Reklame",4,1,1,0
2,"4.1.1.04.01","Reklame Papan/Billboard/Videotron/Megatron",5,0,1,0
3,"4.1.1.04.02","Reklame Kain",5,0,1,0
4,"4.1.1.04.03","Reklame Melekat/Stiker",5,0,1,0
5,"4.1.1.04.04","Reklame Selebaran",5,0,1,0
6,"4.1.1.04.05","Reklame Berjalan",5,0,1,0
7,"4.1.1.04.06","Reklame Udara",5,0,1,0
8,"4.1.1.04.07","Reklame Apung",5,0,1,0
9,"4.1.1.04.08","Reklame Suara",5,0,1,0
10,"4.1.1.04.09","Reklame Film/Slide",5,0,1,0
11,"4.1.1.04.10","Reklame Peragaan",5,0,1,0